id_аптеки;Название;Адрес;Круглосуточная;Средний чек;Y (lat);X (lon)
1;Вита Экспресс;ул. Тверская 38;нет;626,00 ₽;59.741759;30.613061
2;Вита Экспресс;просп. Ленина 25;нет;626,00 ₽;59.751383;30.578709
3;ЛекОптТорг;ул. Тазаева 20;нет;782,00 ₽;59.742017;30.610202
4;ЛекОптТорг;ул. Ижорского Батальона 7;да;782,00 ₽;59.735710;30.613297
5;ЛекОптТорг;б-р Трудящихся 27;нет;782,00 ₽;59.735144;30.578319
6;Невис;ул. Павловская 82;нет;990,00 ₽;59.747765;30.567919
7;Невис;Загородная ул., 43, корп. 3;нет;990,00 ₽;59.774327;30.597944
8;Невис;ул. Пролетарская 5;нет;990,00 ₽;59.741118;30.591375
9;Невис;б-р Трудящихся 22;да;990,00 ₽;59.735375;30.583909
10;Невис;ул. Веры Слуцкой 89;да;990,00 ₽;59.732852;30.576586
11;Озерки;ул. Тазаева 5;нет;715,00 ₽;59.741650;30.611021
12;Озерки;ул. Октябрьская 8;нет;715,00 ₽;59.739231;30.623092
13;Озерки;ул. Онежская 5;нет;715,00 ₽;59.731876;30.622616
14;Озерки;б-р Трудящихся 35 к 2;нет;715,00 ₽;59.734338;30.584745
15;Озерки;ул. Веры Слуцкой 46/2;да;715,00 ₽;59.739409;30.581437
16;Столички;просп. Ленина 75;нет;687,00 ₽;59.750242;30.564363
17;Столички;просп. Ленина 12;нет;687,00 ₽;59.749525;30.589246
18;Столички;ул. Пролетарская 9;нет;687,00 ₽;59.741453;30.587619
19;Столички;б-р Трудящихся 18к4;нет;687,00 ₽;59.735601;30.581330
20;Столички;ул. Ижорского Батальона 18;нет;687,00 ₽;59.737126;30.622707
21;Столички;ул. Тверская 34;нет;687,00 ₽;59.740941;30.610885
22;Столички;ул. Веры Слуцкой 38;нет;687,00 ₽;59.742668;30.582222
23;Здравсити;просп. Ленина 79;нет;757,00 ₽;59.750382;30.562986
24;Здравсити;ул. Пролетарская 60;нет;757,00 ₽;59.741241;30.565180
25;Здравсити;ул. Павловская 7 стр1;нет;757,00 ₽;59.747709;30.588549
26;Здравсити;ул. Ижорского Батальона 7;нет;757,00 ₽;59.735820;30.614252
27;КалинаФарм;ул. Труда 22/15;нет;500,00 ₽;59.749275;30.611585
28;Петербургские Аптеки;ул. Веры Слуцкой, 3/19;нет;814,00 ₽;59.750548;30.584333
29;Петербургские Аптеки;ул. Веры Слуцкой, 38;нет;814,00 ₽;59.742343;30.581952
30;Петербургские Аптеки;Тверская ул., 1/13;нет;814,00 ₽;59.745599;30.609112
31;Неофарм;Октябрьская ул., 8;нет;744,00 ₽;59.738494;30.622684
32;Горздрав;просп. Ленина, 72;нет;748,00 ₽;59.749769;30.564351
33;Горздрав;ул. Братьев Радченко, 7/25А;нет;748,00 ₽;59.751011;30.579452
34;Горздрав;бул. Трудящихся, 18, корп. 1;нет;748,00 ₽;59.735528;30.582961
35;Аптека 36.6;Пролетарская ул., 36;нет;690,00 ₽;59.740768;30.584351
36;Магнит Аптека;Понтонная ул., 5, корп. 1;нет;659,00 ₽;59.758919;30.626181
37;Магнит Аптека;ул. Веры Слуцкой, 89;нет;659,00 ₽;59.732962;30.577557
38;Магнит Аптека;бул. Трудящихся, 16;нет;659,00 ₽;59.735982;30.576439
39;ЛенОблФарм;ул. Труда, 7/5;нет;679,00 ₽;59.749039;30.606333
40;ЛенОблФарм;ул. Ижорского Батальона, 13;нет;679,00 ₽;59.736302;30.617496
41;ЛенОблФарм;бул. Трудящихся, 16;нет;679,00 ₽;59.735870;30.576735
42;ЛенОблФарм;Заводской просп., 8;нет;679,00 ₽;59.738575;30.560803
43;ОлТаФарм;бул. Трудящихся, 12;нет;679,00 ₽;59.737146;30.571929
44;Первая Помощь;бул. Трудящихся, 12, корп. 2;нет;679,00 ₽;59.737902;30.571264
45;Апрель;Тверская ул., 2/15;нет;531,00 ₽;59.746790;30.610304
46;Аптека Плюс;ул. Тверская 38;нет;586,00 ₽;59.739487;30.611055
47;Аптека Плюс;просп. Ленина, 25;нет;586,00 ₽;59.750851;30.578315
